train,valid
0.02422506162531372,0.014450683697441201
0.011221111803722662,0.010958515374571275
0.010279762129714367,0.010243342940215092
0.009664086351937641,0.009878734144483023
0.009033125125245053,0.009320546795797956
0.00847180553876769,0.00865805624824041
0.008020353540758302,0.00819091807908503
0.007709443793078062,0.007931261427202232
0.007512884348062977,0.007823185526593855
0.007380346507469474,0.007813800529689547
0.007269322769895101,0.007745041319163172
0.007165121921359984,0.007684412424209391
0.007062489188202758,0.007665252066840222
0.006960877514223872,0.007642191944489623
0.006861806657514783,0.007636937481843552
